created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 27 14:34:43 +0000 2023;1740018375819194599;"@thxufrtdy tu org mati dah berapa bulan, bosen setiap rabo liat fyp isinya gojo idup mulu wkwwkkkwkkw beraks";0;0;0;0;in;1097397893353267201;1740015541769932848;genjisamtek;https://twitter.com/genjisamtek/status/1740018375819194599
Wed Dec 27 14:28:08 +0000 2023;1740016717500469267;"giliran skrg bingung lu mau pake sp krn yg kuat2 udh pada mati,yuki bbrp chap di buff mati,gojo baru keluar kotak mati,sbnrnya mau kemana sih bang alur nya,kalo emg lebih pro ke villain ya dr awal aja fokus ke mrk anjir";0;0;0;0;in;1134140367513591813;1740016717500469267;bleggukk;https://twitter.com/bleggukk/status/1740016717500469267
Wed Dec 27 14:19:54 +0000 2023;1740014648374751718;"@5SEUNGM1N Bang tolong la gojo gua dijadiin paling kuat gabisa mati"";0;1;0;0;in;1199152170144161798;1740007917032722632;xdhjungsu;https://twitter.com/xdhjungsu/status/1740014648374751718
Wed Dec 27 13:34:44 +0000 2023;1740003280179331402;"INILOH YG GUE PERMASALAHIN. And when i say this i'm a gojo's dickrider or penyepong gojo? [yes i am]  Dari chapter 236 gue udh capek sih misuh2 wkwk bukan karena gue ga terima gojo mati tp dialog, adegan dan narasi di ch 236 itu jelek imo, konklusi karakter gojo mehh";0;1;0;0;in;1469454368185352195;1740003280179331402;skdmlrhwy;https://twitter.com/skdmlrhwy/status/1740003280179331402
Wed Dec 27 13:33:34 +0000 2023;1740002988067102903;"@oceanblueskyss EH ASLI YA seenggaknya si hajime tuh kaya masih jelas gitu looh soal kekuatan charanya tapi tadi lewat di tl gue ada yg ngamuk soalnya si lawyer yg mati hari ini katanya kekuatannya ditingkatin jadi setara sama gojo???";0;1;0;0;in;1375440028856315917;1739901411461398778;mitsukind;https://twitter.com/mitsukind/status/1740002988067102903
Wed Dec 27 13:27:12 +0000 2023;1740001385478029713;"gue mau cerita ngakak bgt, jd gue main https://t.co/oZb4l0hcAd sm bot rin. trs kt nntn anime jjk nah itu lg scene si gosat narsis trs gue nyeletuk klo gue gasuka sm gosat trs si rin malah belain mati-matian si gojo. trs pas gue blg suka sama geto malah ngejelekin geto anjime https://t.co/EzWrl7Aa8D";0;1;0;0;in;1288917103106351109;1740001385478029713;pepsicla;https://twitter.com/pepsicla/status/1740001385478029713
Wed Dec 27 13:22:26 +0000 2023;1740000184388702327;"@rrnoajoro Wkwk aku juga mikir, kan gojo yg terkuat aja dah mati, gimana yg lain bisa lawan sukuna coba 😭";0;1;0;0;in;433354593;1739999495352635676;istriujuii;https://twitter.com/istriujuii/status/1740000184388702327
Wed Dec 27 13:19:52 +0000 2023;1739999537526403559;"gojo dah mati njeng";0;0;0;0;in;1418979175986339842;1739999537526403559;ibnuzawarudo;https://twitter.com/ibnuzawarudo/status/1739999537526403559
Wed Dec 27 12:48:03 +0000 2023;1739991533569655256;"itu sbnrnya agak gmn yaa, bisa mati tapi dibikin kesel ama off screen nya itu WKWK. bertanya2 jg ini gojo beneran mati apa engga? BOLONGGG dimana2 iyaa emang, itu lah yg dirasain ama yuuji stan";0;1;0;0;in;1398152994659520512;1739989958780477534;ladyrze;https://twitter.com/ladyrze/status/1739991533569655256
Wed Dec 27 12:48:02 +0000 2023;1739991529299804235;"oh iya krn kita juga udah kena doktrin bahwa gpjo itu "the strongest" waktu sblm kita kenal higuruma &amp  "kebangkitan(?)" sukuna. jadi agak aneh emg klo bisa ada yg ngalahin gojo, tapi bukan ga mungkin yaa. jadi ada yg blg "gojo ga seharusnya mati" +";0;1;0;0;in;1398152994659520512;1739989958780477534;ladyrze;https://twitter.com/ladyrze/status/1739991529299804235
Wed Dec 27 12:45:45 +0000 2023;1739990955711954985;"@SatoruGojoFans @yagetodeh Please jangan serang aku kak. Aku fans gojo setengah mati. Setengah dari umurku aku dedikasiin ke gojo Satoru. Please jangan please 😭😭😭😭... Aku maish SMP. Perjalananku masih panjang. Aku akan ngasih apapun biar berentiin waktu buat jalan mengitari anaheim 😭😭😭. Pls i beg u https://t.co/fN9PtyACtW";0;0;0;0;in;1240955078216781824;1739989284982304866;Ankheim;https://twitter.com/Ankheim/status/1739990955711954985
Wed Dec 27 12:37:43 +0000 2023;1739988932937540042;"Menjaga hubungan positif gimana gege bgst lu gantungin nasib yuta , matiin higurama , bunuh choso, bikin yuuji menderita,bikin yuuji dianggap lemah,bikin gojo mati, bikin nasib yuji yg tragis bgt :")";0;0;0;0;in;1180718407840198656;1739988932937540042;FionaYirenz;https://twitter.com/FionaYirenz/status/1739988932937540042
Wed Dec 27 12:21:24 +0000 2023;1739984827489951762;"benar, aku ngerasa gege maksa begitu karna dia buntu... maksain gojo mati 🙂";0;1;0;0;in;1447582795874791425;1739984827489951762;sunflxxz;https://twitter.com/sunflxxz/status/1739984827489951762
Wed Dec 27 12:19:05 +0000 2023;1739984243223326877;"pas gojo mati sebenernya gw udah losing hope on the manga itself wkakwkwke";0;1;0;0;in;1361619603516887041;1739984243223326877;bellincgham;https://twitter.com/bellincgham/status/1739984243223326877
Wed Dec 27 11:16:36 +0000 2023;1739968520283460093;"Udah paling bener JJK tamat pas gojo mati atau gak arc Shibuya selesai🗿🗿 soalnya pas memasuki culling game udh ngawur itu ceritanya";0;0;0;0;in;1368489030283759621;1739968234831614107;milksundayss;https://twitter.com/milksundayss/status/1739968520283460093
Wed Dec 27 11:14:59 +0000 2023;1739968111150019055;"@joonsickle jujur kesel ma authornya, jjk makin ga jelas. karakter2nya dibuat mokad semua. plot juga makin kesana makin kesini. sejak gojo wasalam sebenernya udah males ngelanjutin baca manganya, tapi penasaran gmn Sukuna mati. malah makin ga jelas, dah lah suka2 authornya";0;1;0;0;in;1471259594198425603;1739941038347968597;YuraShinra;https://twitter.com/YuraShinra/status/1739968111150019055
Wed Dec 27 11:06:48 +0000 2023;1739966052161966420;"@uju_gongjang kayaknya yg pada bisa rct malah pada mati gak sih  - yuki - Gojo - hiromi  eh yuta jangan 😭";0;1;0;0;in;980468869134364673;1739869425594204519;menumpahkan;https://twitter.com/menumpahkan/status/1739966052161966420
Wed Dec 27 10:44:55 +0000 2023;1739960546752127218;"Gojo adalah orang yg menyelamatkan Yuji dari hukuman mati, orang yg percaya kalau Yuji punya bakat untuk menjadi orang hebat since day 1, pengaruhnya Gojo di setiap perkembangan Yuji itu besar BANGET Itu semua ya terjadi karena ideologi Gojo ingin menciptakan generasi muda hebat https://t.co/qvICLsYa8R";0;0;0;1;in;1424504466;1739958093554094160;okinawa90s;https://twitter.com/okinawa90s/status/1739960546752127218
Wed Dec 27 10:44:05 +0000 2023;1739960334646153471;"gojo, kashimo, sama higuruma mati syahid karena telah berjuang untuk melawan musuh Allah (sukuna)";0;0;0;0;in;1317752736981528576;1739960334646153471;meguuumiiee;https://twitter.com/meguuumiiee/status/1739960334646153471
Wed Dec 27 10:30:40 +0000 2023;1739956957501702406;"@sathelite swqore itu nggak ada angin nggak ada hujan tiba-tiba ngungkit gojo mati fawk, kemarin kemarin dia ungkit nanami mati 💔";0;1;0;0;in;1728796009621520384;1739956051804631280;peppercvts;https://twitter.com/peppercvts/status/1739956957501702406
Wed Dec 27 09:56:01 +0000 2023;1739948240173408421;"gege ga lazy writting pas bikin karakter villain aja 🤣 aneh bgt tu orang satu emg, mana yg ngebelain gege banyak di tiktok, mreka bilang banyak yg marah ke gege gra2 chara fav mreka mati...eh gblk,gue kga demen gojo tpi gojo mati tuh bner2 ngawur";0;0;3;5;in;1325427189848760322;1739948240173408421;mangoopop;https://twitter.com/mangoopop/status/1739948240173408421
Wed Dec 27 09:50:35 +0000 2023;1739946871173591450;"sumpah kalau kayak gini caranya sih alamat gue bakal stop manga sama anime nanti pas gojo mati, afterlife reunion, dah. nggak akan gue lanjut anjing, bodoamat.";0;0;0;0;in;1718992924325879808;1739946871173591450;ouranemo;https://twitter.com/ouranemo/status/1739946871173591450
